image_id,width,height,numerosity,TSA,FA,CH,cumArea,role,pair_num,target_low,target_high,pair_ratio,image_file,position,greater_role,greater_side,pair_order
10229,100,100,14,1907.87841796875,16799.474609375,11780,2086,partner,277,0.5,0.6,0.56,paired_images/img_10229.png,right,anchor,left,19
10680,100,100,14,2403.776123046875,11212.3037109375,9703,2086,anchor,180,0.7,0.8,0.7857142857142857,paired_images/img_10680.png,left,anchor,left,20
6954,100,100,11,1791.7147216796875,13266.4990234375,9505,1639,partner,180,0.7,0.8,0.7857142857142857,paired_images/img_06954.png,right,anchor,left,20
3343,100,100,8,2884.44091796875,13454.3427734375,10157,3016,anchor,159,0.7,0.8,0.7272727272727273,paired_images/img_03343.png,left,partner,right,21
6984,100,100,11,1791.7147216796875,15776.615234375,10102,1639,partner,159,0.7,0.8,0.7272727272727273,paired_images/img_06984.png,right,partner,right,21
10216,100,100,14,1907.87841796875,15856.591796875,13806,2086,anchor,40,0.8,0.9,0.875,paired_images/img_10216.png,left,partner,right,22
11936,100,100,16,2039.6077880859375,20158.736328125,15267,1808,partner,40,0.8,0.9,0.875,paired_images/img_11936.png,right,partner,right,22
2412,100,100,8,1925.1334228515625,11986.45703125,9785,2024,anchor,95,0.8,0.9,0.875,paired_images/img_02412.png,left,anchor,left,23
1382,100,100,7,2403.776123046875,11879.021484375,7054,2219,partner,95,0.8,0.9,0.875,paired_images/img_01382.png,right,anchor,left,23
21714,100,100,28,5093.42431640625,14966.6298828125,16227,5516,anchor,296,0.5,0.6,0.5,paired_images/img_21714.png,left,anchor,left,24
11747,100,100,14,3815.7568359375,13333.7509765625,12794,3542,partner,296,0.5,0.6,0.5,paired_images/img_11747.png,right,anchor,left,24
19871,100,100,25,4287.7470703125,26696.796875,22932,3725,anchor,163,0.7,0.8,0.72,paired_images/img_19871.png,left,anchor,left,25
13849,100,100,18,2428.256591796875,16970.5625,12884,2682,partner,163,0.7,0.8,0.72,paired_images/img_13849.png,right,anchor,left,25
1700,100,100,8,1442.220458984375,8000,5365,1576,anchor,276,0.5,0.6,0.5714285714285714,paired_images/img_01700.png,left,partner,right,26
